title,artist,like_cnt,lyrics,release_date
너야,정인,158,"어느 날부터 매일 아침에
눈을 뜨는 순간부터 설레
아마 내 삶에 네가 들어와 준 순간부턴가 봐
밥 먹다가도 일하다가도
머릿속엔 너만 가득해 이제 자다가도 널 생각해
살아오며 만났던 그 누구와도 비교가 안 돼 그게

바로 너야 내 모든 것
다 주고 더 줘도 아깝지 않은
사람 보고 있어도 보고 싶어지는
사람이 너야 내 모든 것
살아가는 동안에 나의 전부는 너야

영원한 건 없다고들 말해
그러다가 포기하고들 해
그래 나도 별다를 것 없이 지내왔었는데
슬프다가도 웃다가도
아무 생각 없이 가만있다가도
생각해도 너를 생각해
살아오며 만났던 그 누구와도 비교가 안 돼 그게

바로 너야 내 모든 것
다 주고 더 줘도 아깝지 않은
사람 내 사랑
보고 있어도 보고 싶어지는
사람이 너야 내 모든 것
살아가는 동안에 나의 전부는

단 하루도 단 한순간도
살아갈 수 없어 네가 없이는
이런 나의 마음이 얼만큼인지 네가 알아주지
않더라도 괜찮아 난 그대로일 거니까

너야 내 모든 것
다 주고 더 줘도 아깝지 않은
사람은 너야 내 모든 것
살아가는 동안에 나의 전부는
너야",2025.01.21
생각들,maji,117,"대체로 불행한 날들
힘 안 들이고 내뱉는 말들
포근하며 차가운 밤들
책상 위에 놓인 생각들
내가 외면한 마음들과
외면당한 마음의 주인이었던 나
어디로 가나 알겠어, 난들?
애초에 방향이라는 게 있었던가?

창피하지, 일기를 펼쳐 보인다는 건
더 솔직하려 해
그럼 잠시나마 웃음이 지어지네
아주 식어버린 웃음이
마음 편히 가도 돼
어차피 괜찮을 텐데
그냥 내 생각들
시시한 생각들

여전히 여전해
몇 번을 잠들었다 깨도
여전히 여전해
끝내 되돌아오는 이 생각들
해가 뜨기 전에 난
잠에 들 거야
Good night

아는 얼굴들 속의 나
좋아 보이네
두 발을 도움닫기하면
하늘에 닿을 수 있었던
햇볕이 길고 따갑던
그 시절 반가운 너

이젠 몰라볼 얼굴이 더 많지만
다들 잘 지내
이 어지러운 생각들 사이에서
난 의외로 너희를 추억해
수없이 많은 물음이,
또 많은 울음이
빽빽한 이 공책
그 틈에서 끝내 여백을 찾아
몇 자를 적어
'모든 것은 여전해'

여전히 여전해
몇 번을 잠들었다 깨도
여전히 여전해
끝내 되돌아오는 이 생각들
해가 뜨기 전에 난
잠에 들 거야
Good night

잠에 들 거야
끝내 되돌아오는 이 생각들
해가 뜨기 전에 난...
Good night!",2025.01.21
인생영화,이비(EB),59,"When I’m with you babe 니가 웃을때
마치 세상이 멈춘듯 해
I wish upon a star 지금 이대로
Can we stay in this scene forever

영화처럼 I play you over and over
언제봐도 늘 새로워서
다음 장면에 너와 난 어떨까
궁금해져 ready camera action

You’re my favorite movie 몇 번을 다시 봐도
질리지가 않을 인생 영화 같아
Be my movie star no matter where you are
내 곁에서 늘 빛날거야

One two three and cut 자 웃어봐요
내 눈 안에 담아두게
너와 나 우리 단 둘을 위한
장면이야 ready camera action

영화처럼I play you over and over
언제봐도 늘 새로워서
다음 장면에 너와 난 어떨까
궁금해져 ready camera action

You’re my favorite movie 몇 번을 다시 봐도
질리지가 않을 인생 영화 같아
Be my movie starno matter where you are
내 곁에서 늘 빛날거야

너의 이름만으로 가득할 Ending credit
그마저 아마 난  보고 또 볼거야
Be my movie star no matter where we are
우리 둘은 늘 빛날거야

When I’m with you babe
니가 웃을때 모든 순간은 영화가 돼",2025.01.21
Goodbye (With Sam),DOF,10,"In the break of night
Wonder what you did
Why am I still with you

Doubting every night
Since the day we met
What am I supposed to do

Still every part of me
Is missing you
I still feel you here

How should I take this
Oh honestly
Won’t you set me free

How will I tell you
This goodbye
Now that I’ve made up my mind

Now that I’ll be gone
So goodbye
You don’t meaning anything anymore

Doubting every night
Since the day we met
What am I supposed to do

Still every part of me
Is missing you
I still feel you here

How should I take this
Oh honestly
Won’t you set me free

How will I tell you
This goodbye
Now that I’ve made up my mind

Now that I’ll be gone
So goodbye
You don’t meaning anything anymore

How will I tell you
This goodbye
Now that I’ve made up my mind

Now that I’ll be gone
So goodbye
You don’t meaning anything anymore

In the break of night
Wonder what you did
Why am I still with you

Doubting every night
Since the day we met
What am I supposed to do",2025.01.21
GET OUT,그레씨 (GRACY),7,"너는 언제나 도망쳤지
사랑은 커녕 책임조차 못졌지
미련따윈 없어,
난 이젠 알아
네겐 더는 줄 게 없어
널 위해 흘린 눈물
이젠 나를 위해 닦아내
버려진 시간마저도
날 더 강하게 만들어
너도 결국 날 잊지 못해
머릿속에서 날 지워도
네 맘 한 구석에
박힌 내 흔적을 네가 원해도
떠나지 않을테니
Get Out!
이제 더는 안 돼
내 시간을 삼긴 넌 뭐가 대단해?
왜 아직도 날 떠올려?
이젠 다르지, 널위한 후회따윈 않을테니!
Get Out!
이제 더는 안 돼
내 시간을 삼킨 넌 뭐가 대단해?
왜 아직도 날 떠올려?
이젠 다르지, 널 위한 건 없어
Get Out!
꼴도 보기 싫어
니가 날 잊을꺼란 착각은 버려!
내가 너의 심장에 새긴 흔적들
평생 지우지 못할 걸
알아
Get Out!
이제 더는 안 돼
내 시간을 삼킨 넌 뭐가 대단해?
왜 아직도 날 떠올려?
이젠 다르지, 널 위한 건 없어
Get Out!
꼴도 보기 싫어
니가 날 잊을꺼란 착각은 버려!
내가 너의 심장에 새긴 흔적들
평생 지우지 못할 걸
알아",2025.01.21
공병 (Original Ver.),Canver,7,"그대가 앉아 있던 곳


나에게 내밀었던 손


나는 왜 아무렇지 않게 잡지 못했을까


그 사이 어디엔가 나 젖어


차갑게 식은 담뱃불


어느새 멀어져 간 둘


그 틈 사이에


무거운 공기만 가득하네요


해를 먹은 바닷가 위에


저 멀리 파도 탄 빈병이 밀려오기를


조용히 기다리네요


수많은 빛 그 가운데


그대가 보낸 작은 배


내게 와 별빛이 되어 줘요


모래사장 위 그대가


보낸 공병 그 안을 나


보지 않아요 보지 않아도


그대 마음은 보이는 것 같아요",2025.01.21
욕심,제이,1,"오해하지 말고 들어
내가 널 보고 싶다는 게 아니고
그냥 오해하고 들어
내가 네가 보고 싶다는 말인데
너무 멀리서 찾는 거 같은데
그렇게 멀리 가지 마
그냥 이대로만
그저 내 곁에만
내가 원하는 건
너를 원하는 걸
아무 말 없이 안고 그저 너를 갖고 싶은 건
내 욕심이었지
널 보고 싶은 것도 전부 내 욕심이겠지
널 안고 싶은 것도 전부 내 욕심이겠지
그냥 우리 둘이서
그냥 우리 둘이서
그럼 아무것도 더는 아무것도
i miss you girl
난 널 원해 그냥 내 눈앞에 나타나줘
i need you girl
난 널 원해 빨리 내 눈앞에 나타나줘
늑대 한 마리 I told you bae
못 이긴 척 내게 먹혀줄래
한순간 만이라도 yeah
잠깐이라도 yeah
너무 멀리서 찾는 거 같던데
내가 옆에 있잖아
알고 있니 나도 꽤 인기 많은데
너를 보고 있잖아
내가 원하는 건
너를 원하는 걸
아무 말 없이 안고 그저 너를 갖고 싶은 건
내 욕심이었지
널 보고 싶은 것도 전부 내 욕심이겠지
널 안고 싶은 것도 전부 내 욕심이겠지
그냥 우리 둘이서
그냥 우리 둘이서
그럼 아무것도 더는 아무것도",2025.01.21
Your scent (너의 향기),유월이 음악,1,"Oh oh oh, your scent lingers still
내 맘 속에 (In my heart), can't escape this feel
Memories thrill, time stands still
네 향기에 취해 (Drunk on your scent), against my will

City lights flash, memories crash, emotions clash
네 향기가 날 감싸 (Your scent wraps around me), in a neon splash
Heart racing fast, present to past, how long will it last?
이 밤이 깊어갈수록 (As the night deepens), your scent's contrast

Every corner, every street
너의 흔적 (Your traces), make my heart beat
Can't forget, won't forget
이 도시가 (This city), echoes with regret

Your scent, your scent (너의 향기)
Haunting me, can't set me free
잊지 못해 (Can't forget), your everything
Deep in my soul, tattooed indelibly
다시 떠올라 (Rising again), endlessly

Scent-scent-scent, intoxicating me (Yeah)
향기에 취해 (Drunk on your scent), can't you see? (Oh)
Scent-scent-scent, my sweet agony (Woo)
네 향기 속에 갇혀 (Trapped in your scent), need to break free (Let me go)

Late night drive, memories dive, barely alive
창문 너머로 (Through the window), your scent still survives
Playlist spins, where it begins, the fragrance wins
그때 그 향기 (That scent back then), to break free

In my dreams, in my nightmares
네 향기만 (Only your scent), fills the air
Can't move on, the scent's so strong
이 그리움 (This longing), where do I belong?

Your scent, your scent (너의 향기)
Haunting me, can't set me free
잊지 못해 (Can't forget), your everything
Deep in my soul, tattooed indelibly
다시 떠올라 (Rising again), endlessly

Listen up! Your scent's a riddle (Oh no)
너의 향기 (Your scent), got me feeling little (So small)
Can't stop this, it's habitual (Woo)
매일 밤 (Every night), your scent's residual (It stays)
I'm drowning in this ocean blue (Help me)
Of memories and scents of you (Your scent)
향기 폭포 (Scent waterfall), I'm falling too
네 향기 속에 (In your scent), what should I do?

Scent of you, tattooed and true, what can I do?
지울 수 없어 (Can't erase it), this scented déjà vu
Memories fade, your scent pervades, my heart invades
Forever trapped in these aromatic shades

Your scent-scent-scent, it's my destiny
네 향기 속에 영원히 (In your scent forever), can't you see?
Scent-scent-scent, it's my melody
이 향기가 내 운명이니 (This scent is my fate), set me free
let me free, endlessly
Listen up, Your scent's a riddle
네 향기 속에 영원히 (Your scent) can t you see?
Scent-scent-scent, it's my melody
이 향기가 내 운명이니, set me free",2025.01.21
오블리비아테 (Obliviate),유월이 음악,1,"Fading out the pain I hide
Leave the love, push dark aside
Erase the past, I’m free to fly
Obliviate, I’m not afraid tonight

Locked in my head, it’s a maze, I’m stuck
Flipping through pages, the ink’s dried up
Scars in my mind, but they’re just old cuts
Dreams in my chest? They ain’t giving up
Erase it, trace it rewrite my name
No more shadows, I’m done with the shame
Life’s a canvas, paint it bold
Let the hurt go, let the truth unfold

Falling stars, let them guide my way
Wash my heart, bring a brighter day
Obliviate the nights I cried
Leave the moments where love survives

Obli, Obli, Obliviate
Sing my soul, let the memories fade
Take the hurt, let it dissipate
Only the love, let it resonate
Obli, Obli, Obliviate
Rewrite the song, let my heart vibrate
Build me strong, let me elevate
I’m breaking free Obliviate

Erase the fear, I’m clearing my sight
What’s left behind won’t hold me tight
Tangled memories, I cut the string
Now I’m soaring, hear me sing
Pages burning, I’m lighting the flame
Flipping the script, I’m changing the game
No regrets, no chains on me
This is my story, I’m finally free

Falling stars, let them guide my way
Wash my soul, light a brighter day
Obliviate the nights I bled
Only the love lives in my head

Obli, Obli, Obliviate
Sing my soul, let the memories fade
Take the hurt, let it dissipate
Only the love, let it resonate
Obli, Obli, Obliviate
Rewrite the song, let my heart vibrate
Build me strong, let me elevate
I’m breaking free Obliviate

Shadows fall, but I won’t bow
I’m rewriting my story now
The hurt is gone, the love remains
I’m free to run through healing rains

Break down the walls that held me tight
Turn my scars into beams of light
Obliviate, my soul’s alive
Good vibes only watch me thrive

Obli, Obli, Obliviate
Take my soul, let the memories fade
Erase the pain, let it dissipate
Only the love will resonate
Obli, Obli, Obliviate
Rewrite the song, let my heart vibrate
Build me strong, let me elevate
I’m breaking free Obliviate

Obli, Obli, my pain tonight
Stars will guide me to the light
Erase, replace, I’m born anew
Obliviate, I’m trusting you



[한국어 가사]
숨겨둔 아픔 사라져
사랑만 남겨, 어둠 밀어내
과거를 지워, 날아올라
오블리비아테, 오늘 난 두렵지 않아

머릿속에 갇힌 미로 같아
멈춘 페이지들, 잉크는 말랐어
아픈 상처들, 이제는 옛날 얘기
가슴 속 꿈은 아직 꺼지지 않았지
지워내, 다시 써, 내 이름을 새겨
그림자 없이, 부끄럼은 내려놔
인생은 캔버스, 더 강하게 색칠해
아픔을 놔줘, 진실을 드러내

떨어지는 별, 날 이끌어줘
내 마음을 씻어줘, 더 밝은 날을 보여줘
울던 밤은 오블리비아테
남은 건 사랑뿐, 내 안에 새겨둬

오블리, 오블리, 오블리비아테
내 영혼 노래해, 기억은 사라져
아픈 건 멀어져, 사랑만 퍼져
오직 좋은 기억만 나를 울려
오블리, 오블리, 오블리비아테
노래를 다시 써, 심장이 떨려와
더 강해져, 날 높이 들어 올려
나는 자유로워 오블리비아테

두려움은 사라져, 시야가 맑아져
뒤에 두었던 건 더 이상 날 묶지 않아
엉킨 기억들, 실을 잘라내
이제는 날아올라, 내 노래를 들어봐
타오르는 페이지, 불꽃을 밝혀
대본을 고쳐, 게임을 뒤집어
후회는 없어, 더 이상 내게 사슬은 없어
이건 내 이야기, 이제 난 자유로워

떨어지는 별, 날 이끌어줘
내 영혼 씻어줘, 더 밝은 빛을 비춰줘
울던 밤은 오블리비아테
사랑만 남아, 내 마음 깊이 새겨둬

오블리, 오블리, 오블리비아테
내 영혼 노래해, 기억은 사라져
아픈 건 멀어져, 사랑만 퍼져
오직 좋은 기억만 나를 울려
오블리, 오블리, 오블리비아테
노래를 다시 써, 심장이 떨려와
더 강해져, 날 높이 들어 올려
나는 자유로워 오블리비아테

어둠이 내려와도 난 무너지지 않아
이제 내 이야기를 새롭게 써가
아픔은 사라지고, 사랑만 남아
치유의 빗속을 자유롭게 달려가

날 가뒀던 벽을 무너뜨려
흉터를 빛으로 바꿔버려
오블리비아테, 내 영혼이 깨어나
좋은 에너지로 지켜봐, 난 살아가

오블리, 오블리, 오블리비아테
내 영혼 노래해, 기억은 사라져
아픈 건 멀어져, 사랑만 퍼져
오직 좋은 기억만 나를 울려
오블리, 오블리, 오블리비아테
노래를 다시 써, 심장이 떨려와
더 강해져, 날 높이 들어 올려
나는 자유로워 오블리비아테

오블리 오블리, 오늘 밤 아픔은 사라져
별들이 나를 빛으로 인도해줘
지우고, 바꿔, 새롭게 태어나
오블리비아테, 너를 믿을게",2025.01.21
Lazy Monday,Ginger Whiskey,2,"Make me feel good my baby
Right now I need you baby
Just one moment, I wanna feel it
Make me feel crazy
Make me feel good my baby
Right now I need you baby
Just one moment, I wanna feel it
Make me feel crazy

Come on my baby, come a little closer
It's getting chilly, so let's stick a little closer
I wanna stay with you a little bit longer before you head to school
Cuz I’m goona be alone soon

Make me feel good my baby
Right now I need you baby
Just one moment, I wanna feel it
Make me feel crazy
Make me feel good my baby
Right now I need you baby
Just one moment, I wanna feel it
Make me feel crazy

Honestly, it's so hard to get through the time without you
I know You already know
in my room, playin' games, just waitin' for you
So Hold me right now before you head to school, girl

Make me feel good my baby
Right now I need you baby
Just one moment, I wanna feel it
Make me feel crazy
Make me feel good my baby
Right now I need you baby
Just one moment, I wanna feel it
Make me feel crazy",2025.01.21
