,rank,songid,title,artist,like,release_date,genre,lyric
0,1,37069064,슬픈 초대장,순순희(지환),61949,2023.12.19,"발라드, 인디음악","내 야윈 손위로 온 초대장 위에
널 데려간다는 그와 네 이름
오래전 헤어지던 날
자꾸 내 눈앞에 스쳐
혼자서도 난 서글픈데

수화기 너머로 젖은 네 목소리
그때 왜 날 보내줬냐고
첨부터 널 사랑했다면
마지막까지 붙잡아야 했다고

그 많은 사연들 다 버려둔 채로
날 떠난 너였잖아
지금 그를 사랑한다면서

왜 이제 와서 또 바보처럼 흔들려
누굴 위해 돌아봐
아픈 가슴 추억으로 달래며
네 행복을 믿었는데

차라리 날 다 지워버려
넌 그를 택한 세상에 후회하지 않도록 
남들처럼 나도 멀리서 나마
축하하고 싶으니

다 기억할 만큼 모질지 못한 너
날 두 번 울리잖아
되돌리긴 너무 늦었는데

왜 이제 와서 또 바보처럼 흔들려
누굴 위해 돌아봐
아픈 가슴 추억으로 달래며
네 행복을 믿었는데

차라리 날 다 지워버려
넌 그를 택한 세상에 후회하지 않도록
남들처럼 나도 멀리서 나마
축하하고 싶으니

부디 가서 영원해 줘"
1,2,34451383,인사,범진,138759,2021.12.24,"발라드, 인디음악","돌아서는 너를 보며
난 아무 말도 할 수 없었고
슬퍼하기엔 짧았던
나의 해는 저물어 갔네
지나치는 모진 기억이
바람 따라 흩어질 때면
아무 일도 없듯이 보내주려 해
아픈 맘이 남지 않도록
안녕 멀어지는 나의 하루야
빛나지 못한 나의 별들아
차마 아껴왔던 말 이제서야
잘 지내 인사를 보낼 게
떠나가는 너를 보며
난 아무 말도 할 수 없었고
슬퍼하기엔 짧았던
나의 해는 저물어 갔네
돌이킬 순 없는 추억이
바람 따라 흩어질 때면
아무 일도 없듯이 보내주려 해
아픈 맘이 남지 않도록
안녕 멀어지는 나의 하루야
빛나지 못한 나의 별들아
차마 아껴왔던 말 이제서야
잘 지내 인사를 보낼 게
잘 지내 인사를 보낼 게"
2,3,34941788,살기 위해서,순순희,22055,2022.04.24,"발라드, 인디음악","원합니다 내가 살기 위해서
내가 이렇게도 가슴이 뛰는 건
그대가 내 마음에 다녀 갔었나 봐
우리 사랑은 또 스쳐가지만
세상에서 가장 그리운 사람
내가 어느새 그대 이름을 불러
원합니다 내가 살기 위해서
그 사랑이 아파도 기다릴게 여기서
사랑이란 멀리 있어도
언젠간 만날 테니까
네가 없으면
죽을 것 같아서 살기 위해서
왜 이유 없이 눈물이 났는지
그렇게 가슴 아파야 했는지
지금 달려가 꼭 말해주고 싶어
원합니다 내가 살기 위해서
그 사랑이 아파도 기다릴게 여기서
사랑이란 멀리 있어도
언젠간 만날 테니까
네가 없으면
죽을 것 같아서 널 사랑해서
두 번 다신 못 보게 될까 봐
연기처럼 네가 사라질까 봐
난 두려워
원합니다 내가 살기 위해서
날 살게 해준 사람 바로 그대입니다
눈물마저 고맙습니다
그대가 준 것이니까
그리움 조차 나는 행복해서
살기 위해서 널 사랑해"
3,4,31666417,주저하는 연인들을 위해,잔나비,436271,2019.03.13,"인디음악, 록/메탈","나는 읽기 쉬운 마음이야
당신도 스윽 훑고 가셔요
달랠 길 없는 외로운 마음 있지
머물다 가셔요 음
내게 긴 여운을 남겨줘요
사랑을 사랑을 해줘요
할 수 있다면 그럴 수만 있다면
새하얀 빛으로 그댈 비춰 줄게요
그러다 밤이 찾아오면
우리 둘만의 비밀을 새겨요
추억할 그 밤 위에 갈피를 꽂고선  
남몰래 펼쳐보아요
나의 자라나는 마음을
못 본 채 꺾어 버릴 순 없네
미련 남길바엔 그리워 아픈 게 나아
서둘러 안겨본 그 품은 따스할 테니
그러다 밤이 찾아오면
우리 둘만의 비밀을 새겨요
추억할 그 밤 위에 갈피를 꽂고선  
남몰래 펼쳐보아요
언젠가 또 그날이 온대도
우린 서둘러 뒤돌지 말아요
마주보던 그대로 뒷걸음치면서
서로의 안녕을 보아요
피고 지는 마음을 알아요
다시 돌아온 계절도
난 한 동안 새 활짝 피었다 질래
또 한번 영원히
그럼에도 내 사랑은
또 같은 꿈을 꾸고
그럼에도 꾸던 꿈을
난 또 미루진 않을거야"
4,5,38388023,시작의 아이,마크툽 (MAKTUB),10481,2025.01.01,"R&B/Soul, 인디음악","존재하는 이유
그런 건 아무래도 좋으니
그리 즐겁지도 괴롭지도 않은
바람아 불어라

달을 찾는 이유
예쁜 건 언제 봐도 좋으니
나는 세계의 시계를 부수고
너에게 닿는다

너와 함께 바라본
붕괴하는 세상의 반짝임을
그 찰나를 별의 시작이라고 부를 거야

시간의 중력으로는 우리의 모든 이야기를
따라잡을 수 없을 테니까

시작의 푸름에
모든 이름에
네가 새겨져있을 뿐
낮과 밤을 지나 새벽 속에도
잠들지 않는 아이 아이야

열 번의 기적처럼
널 가득 안은 채
그대로 멈춰라
내 하루에 번져가는 시작의 너

달이 예쁘다고
네게 말해줬던 그 밤은
너무 뜨겁지도 아쉽지도 않은
고요함이었지

너를 찾은 이유
어쩌면 찾지 않았을지도
사실 언제 만났어도 지금처럼 너를 좋아했을 거야

너와 함께 바라본
마주하는 눈빛의 반짝임을
그 찰나를 시작의 별이라고 부를 거야

처음 느낌 그대로
우리의 모든 이야기를
완성해낼 수 있을 테니까

시작의 푸름에
모든 이름에
네가 새겨져있을 뿐
낮과 밤을 지나 새벽 속에도
잠들지 않는 아이 아이야
백야의 하늘 아래
널 가득 안은 채
그대로 멈춰라 내 하루에 번져가는 시작의 너

숨 쉴 수 있는 순간에 한 번 더 너를 안고
그 품이 그리워 미래에 더 아파할 거야
언젠가 시간보다 늦었던 마음이 밉지 않도록
천 개의 바람으로 날아가 흩어지기 전에

내 모든 이름에
꿈의 흐름에
네가 새겨져 있는 걸
숨과 바람 사이 영원속에도
잠들지 않는 아이 아이야
만개의 계절 속에
태어나는 시작의 푸름으로 부르는 노래
널 사랑하는 나의 마음이야

숨 쉴 수 있는 순간에 한 번 더 너를 안고
그 품이 그리워 더 아파할 거야"
5,6,31726704,yours,데이먼스 이어 (Damons year),162046,2019.04.10,"발라드, 인디음악","내가 손을 잡을게
너는 힘을 빼도 돼
그저 복사꽃 핀 거릴 걷자
너의 마음이 녹아
우리 밤을 합치면
무너진 달을 세워놓자
가끔 너의 모습은
봄날의 낮과 밤 같아
따스하다가도 차갑곤 해
또 넌 맑은 하늘에
내리는 소나기 같아
넌 대체 내게 뭐를 원해
그대여 난
솔직히 좀 싫어
그대는 내가 없더라도
아무렇지 않은 게
넌
나의 모든 하루를 바꿔
난 그렇게 또
두 눈을 감고 마네
그대여 난
솔직히 좀 싫어
그대는 내가 없더라도
아무렇지 않은 게
넌
나의 모든 하루를 바꿔
난 그렇게 또
두 눈을 감고 마네"
6,7,35553933,숲,최유리,151824,2022.08.24,"인디음악, 포크/블루스","난 저기 숲이 돼볼게 
너는 자그맣기만 한 언덕 위를 
오르며 날 바라볼래 
나의 작은 마음 한구석이어도 돼 
길을 터 보일게 나를 베어도 돼 
날 지나치지 마 날 보아줘 
나는 널 들을게 이젠 말해도 돼 
날 보며 
아 숲이 아닌 바다이던가 
옆엔 높은 나무가 있길래 
하나라도 분명히 하고파 난 이제 
물에 가라앉으려나 
난 저기 숲이 돼볼래 
나의 옷이 다 눈물에 젖는대도 
아 바다라고 했던가 
그럼 내 눈물 모두 버릴 수 있나 
길을 터 보일게 나를 베어도 돼 
날 밀어내지 마 날 네게 둬 
나는 내가 보여 난 항상 나를 봐 
내가 늘 이래 
아 숲이 아닌 바다이던가 
옆엔 높은 나무가 있길래 
하나라도 분명히 하고파 난 이제 
물에 가라앉으려나 
나의 눈물 모아 바다로만 
흘려보내 나를 다 감추면 
기억할게 내가 뭍에 나와있어 
그때 난 숲이려나"
7,8,36062335,그대가 내 안에 박혔다(그내박),순순희(기태),51270,2023.01.23,"발라드, 인디음악","한참을 하늘을 보고 걸어 갔어
내 지난 사랑은 온통 미련으로 가득한데
사랑이 있다는 말은 믿지 않아
그렇게 그렇게 그저 살아
사는 게 힘겨워서 버거워서
무너지고 싶던
그 날에 햇살처럼 그댄 내게 왔다
그대가 내 안에 박혔다
그대가 내 맘을 녹였다
그대가
나밖에 몰랐던
내가 사랑을 배워가고 있다
겨울같은 시간이 와도 꽃은 꺾지 않겠다
나 이제야 이제야 숨을 쉰다
너와
사는 게 힘겨워서 버거워서
무너지고 싶던
그 날에 햇살처럼 그댄 내게 왔다
그대가 내 안에 박혔다
그대가 내 맘을 녹였다
그대가
나밖에 몰랐던
내가 사랑을 배워가고 있다
겨울같은 시간이 와도 꽃은 꺾지 않겠다
나 이제야 이제야 숨을 쉰다
너와
한없이 춥기만 했던 어둡던 지난 밤들은
오늘을 위한 시련이었다
흩어진 내 맘이 길을 잃어도
아픈 시간이 와도
그대와 함께 걷겠다 내 전부를 걸겠다
그대와
그대가 내 안에 박혔다
그대가 내 맘을 녹였다
그대가
나밖에 몰랐던
내가 사랑을 배워가고 있다
겨울같은 시간이 와도 꽃은 꺾지 않겠다
나 이제야 이제야 꿈을 꾼다
너와"
8,9,35252996,해요 (2022),#안녕,105300,2022.06.07,"발라드, 인디음악","그녀와 나는요 그땐 참 어렸어요
많이 사랑했고 때론 많이 다퉜었죠
지금 생각하면 모두 내 잘못이죠
마지막 그날도 그녀는 울었어
나는 그녈 잡지 못했죠
지금까지도 너무 후회가 돼요
그 후로 누굴 사랑한 적 없어 아직은
그녀와 나는요
언젠가 만날 거죠
변해버린 모습 변해버린 시간 속에
하지만 괜찮아 내 눈엔 아름답던
예전 모습 그대로 일 거예요
그녀도 날 못 잊을 거야 나는 믿어요
그만큼 사랑했죠
그래서 우린 한 번은 만나야만 해요
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
언제라도
그녀도 날 못 잊을 거야 나는 믿어요
그만큼 사랑했죠
그래서 우린 한 번은 만나야만 해요
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
내가 매일 기다린다고"
9,10,30514366,선물,멜로망스,343931,2017.07.10,"발라드, 인디음악","빛이 들어오면 자연스레 뜨던 눈
그렇게 너의 눈빛을 보곤
사랑에 눈을 떴어
항상 알고 있던 것들도 어딘가
새롭게 바뀐 것 같아
남의 얘기 같던 설레는 일들이
내게 일어나고 있어
나에게만 준비된 선물 같아
자그마한 모든 게 커져만 가
항상 평범했던 일상도
특별해지는 이 순간
별생각 없이 지나치던 것들이
이제는 마냥 내겐 예뻐 보이고
내 맘을 설레게 해
항상 어두웠던 것들도 어딘가
빛나고 있는 것 같아
남의 얘기 같던 설레는 일들이
내게 일어나고 있어
나에게만 준비된 선물 같아
자그마한 모든 게 커져만 가
항상 평범했던 일상도
특별해지는 이 순간
너를 알게 된 뒤 보이는
모든 것들이 너무 예뻐 보여
그렇게 신난 아이처럼
순수한 사람이 된 것 같아
나에게만 준비된 선물 같아
자그마한 모든 게 커져만 가
항상 평범했던 일상도
특별해지는 이 순간
깊은 사랑에 빠진 순간"
