title,artist,like_cnt,lyrics
나는 반딧불,황가람,"1,533","나는 내가 빛나는 별인 줄 알았어요
한 번도 의심한 적 없었죠
몰랐어요 난 내가 벌레라는 것을
그래도 괜찮아 난 눈부시니까
하늘에서 떨어진 별인 줄 알았어요
소원을 들어주는 작은 별
몰랐어요 난 내가 개똥벌레라는 것을
그래도 괜찮아 나는 빛날 테니까
나는 내가 빛나는 별인 줄 알았어요
한 번도 의심한 적 없었죠
몰랐어요 난 내가 벌레라는 것을
그래도 괜찮아 난 눈부시니까
한참 동안 찾았던 내 손톱
하늘로 올라가 초승달 돼 버렸지
주워 담을 수도 없게 너무 멀리 갔죠
누가 저기 걸어놨어 누가 저기 걸어놨어
우주에서 무주로 날아온
밤하늘의 별들이 반딧불이 돼 버렸지
내가 널 만난 것처럼 마치 약속한 것처럼
나는 다시 태어났지 나는 다시 태어났지
나는 내가 빛나는 별인 줄 알았어요
한 번도 의심한 적 없었죠
몰랐어요 난 내가 벌레라는 것을
그래도 괜찮아 난 눈부시니까
하늘에서 떨어진 별인 줄 알았어요
소원을 들어주는 작은 별
몰랐어요 난 내가 개똥벌레란 것을
그래도 괜찮아 나는 빛날 테니까"
number one girl,로제(ROSÉ),"1,357","Tell me that I’m special
Tell me I look pretty
Tell me I’m a little angel
Sweetheart of your city
Say what I’m dying to hear
Cause I’m dying to hear you

Tell me I’m that new thing
Tell me that I’m relevant
Tell me that I got a big heart
Then back it up with evidence
I need it and I don’t know why
This late at night

Isn’t it lonely
I’d do anything to make you want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes
Your one and only
So what’s it gon’ take for you to want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes

Tell me I’m going real big places
Down to earth so friendly
And even through all the phases
Tell me you accept me
Well that’s all I’m dying to hear
Yeah I’m dying to hear you

Tell me that you need me
Tell me that I’m loved
Tell me that I’m worth it
And that I’m enough
I need it and I don’t know why
This late at night

Isn’t it lonely
I’d do anything to make you want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes

Your one and only
So what’s it gon’ take for you to want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes

The girl in your eyes
The girl in your eyes
Tell me I’m the number one girl
I’m the number one girl in your eyes
The girl in your eyes
The girl in your eyes
Tell me I’m the number one girl
I’m the number one girl in your eyes

Well isn’t it lonely
I’d do anything to make you want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes

Your one and only
So what’s it gon’ take for you to want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes
The number one girl in your eyes"
내게 사랑이 뭐냐고 물어본다면,로이킴,"1,013","뜨겁게 사랑했던
계절을 지나
처음과는 조금은 달라진
우리 모습을
걱정 하진 말아요

아침에 떠오르는
햇살을 보며
사랑을 약속했던
우리의 마음은
영원한 거라

저물어 가는 노을도
그리고 찾아올 밤하늘도
우리 함께한 시간 만큼
아름다울 거예요

내게 사랑이 뭐냐고 물어본다면
처음의 설렘보다
이 익숙함을
소중해 할 수 있는 것

때론 맘 같지 않아도
포기하지 않고
서로를 바라보며
솔직해지고
이해할 수 있는 것

그게 사랑일 거야
내가 아는 사랑인 거야

바다가 지겨워지고
숲이 푸르르지 않다고
그 아름다움을 잊는다면
사랑이 아닐 거예요

내게 사랑이 뭐냐고 물어본다면
처음의 설렘보다
이 익숙함을
소중해 할 수 있는 것

때론 맘 같지 않아도
포기하지 않고
서로를 바라보며
솔직해지고
이해할 수 있는 것

내가 보고 느끼고
듣는 모든 것엔
그대가 물들어 있어서
없이는 나 살 수 없어서

너가 노래가 된다면
나만 알고 싶고
그 어떤 가사보다
아껴 부르며
간직하고 싶은 것

그게 사랑일 거야
내가 하는 사랑인 거야

그래 그게 바로 사랑일 거야"
Love wins all,아이유(IU),"4,639","Dearest, Darling, My universe
날 데려가 줄래?
나의 이 가난한 상상력으론
떠올릴 수 없는 곳으로

저기 멀리 from Earth to Mars
꼭 같이 가줄래?
그곳이 어디든, 오랜 외로움
그 반대말을 찾아서 

어떤 실수로 
이토록 우리는 
함께일까

세상에게서 도망쳐 Run on
나와 저 끝까지 가줘 My lover
나쁜 결말일까 길 잃은 우리 둘 um

부서지도록 나를 꼭 안아
더 사랑히 내게 입 맞춰 Lover
Love is all Love is all
Love Love Love Love

결국, 그럼에도,
어째서 우리는
서로일까

세상에게서 도망쳐 Run on
나와 저 끝까지 가줘 My lover
나쁜 결말일까 길 잃은 우리 둘 um

찬찬히 너를 두 눈에 담아
한 번 더 편안히 웃어주렴

유영하듯 떠오른
그날 그 밤처럼,
나와 함께 겁 없이
저물어줄래? 

산산히 나를 더 망쳐 Ruiner
너와 슬퍼지고 싶어 My lover

필연에게서 도망쳐 Run on
나와 저 끝까지 가줘 My lover
일부러 나란히 길 잃은 우리 두 사람
	
부서지도록 나를 꼭 안아
더 사랑히 내게 입 맞춰 Lover
Our Love wins all Love wins all
Love Love Love Love"
첫 눈,EXO,"10,659","첫눈 오는 이런 오후에
너에게 전화를 걸 수만
있다면 기쁠텐데
벌써 일년이 지났는데
난 아직 미련 가득해서
""쓸쓸해"" 어느새 혼잣말
(시계를 되돌려)
1년 전으로 갈 수 있다면
(마음을 되돌려)
지금 우린 달라졌을까
yeah 바보 같은 소리지,
그래도 만약
너를 만나면 눈물 차 올라
바보 같은 난 아무 말 못해
말해줘 메리 메리 크리스마스,
안녕 잘 지내는거지
눈이 내리면 멍든 가슴이
모두 하얗게 다 덮여지게 될까
미안해 잘해주지 못해
후회만 가득 가득 했던,
그 크리스마스
불빛 가득한 거리거리
혼자 걸었어
다들 행복해 보여
너는 언제나 공기처럼
있어줄 거란 착각에,
멍청히 보내,
내가 너무 미안해
(너무 흔한 얘기)
지나고 나면 너무 소중해
(항상 지나치지)
왜 그때는 모르는 걸까
지금은 다를 거야
말해주고파
너를 만나면 눈물 차 올라
바보 같은 난 아무 말 못해
말해줘 메리 메리 크리스마스,
안녕 잘 지내는거지
눈이 내리면 멍든 가슴이
모두 하얗게 다 덮여지게 될까
눈물인지 눈 때문인지
점점 너 멀리 멀리 보이던,
그 크리스마스
정말 신기한 일이야 너의
생각만으로 눈물 차 흐르니말야
Tears are falling, falling, falling
다시 너에게로 가고 싶어
무슨 일이든 할 수 있어
지금까지 삶이
모두 사라진다 해도 Girl
너를 만나면 눈물 차 올라
바보 같은 난 아무 말 못해
말해줘 메리 메리 크리스마스,
안녕 잘 지내는거지
Baby girl ooh- yeah-
눈이 내리면 멍든 가슴이
모두 하얗게 다 덮여지게 될까
미안해 잘해주지 못해
후회만 가득 가득 했던,
너를 만나면 눈물 차 올라
(눈물 차 올라)
바보 같은 난 아무 말 못해
(아무 말 못하는 나 인걸)
말해줘 메리 메리 크리스마스,
잘 지내는거지
눈이 내리면 멍든 가슴이
모두 하얗게 다 덮여지게 될까
눈물인지 눈 때문인지
점점 너 멀리 멀리 보이던,
그 크리스마스"
천상연,이창섭,"2,137","아니길 바랬었어
꿈이길 기도했지
너 없는 가슴으로 살아가야 하는 건
내게는 너무 힘겨운걸
그렇게 사랑했던
너무도 소중했던
지난날이 서러워 자꾸 눈물이 흘러
내 삶은 너뿐인데
사랑해 널 잊을 순 없을 거야
미안해 너를 지키지 못한 것을
너의 행복한 모습 나 보기를 원해
부디 새롭게 시작하길 바래
하늘이 우리를 갈라 놓지만
눈물로 너를 보내려고 하지만
너를 얼마나 내가 사랑했는 줄 아니
영원히 너를 지켜보며 살 거야
행복하길 바래
그렇게 사랑했던
너무도 소중했던
지난날이 서러워 자꾸 눈물이 흘러
내 삶은 너뿐인데
사랑해 널 잊을 순 없을 거야
미안해 너를 지키지 못한 것을
너의 행복한 모습 나 보기를 원해
부디 새롭게 시작하길 바래
하늘이 우리를 갈라 놓지만
눈물로 너를 보내려고 하지만
너를 얼마나 내가 사랑했는 줄 아니
영원히 너를 지켜보며 살 거야
행복하길 바래
널 사랑해
미안해 너를 지키지 못한 것을
너의 행복한 모습 나 보기를 원해
부디 새롭게 시작하길 바래
행복하길 바래"
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤),"22,390","일부러 몇 발자국 물러나
내가 없이 혼자 걷는 널 바라본다
옆자리 허전한 너의 풍경
흑백 거리 가운데 넌 뒤돌아본다
그때 알게 되었어
난 널 떠날 수 없단 걸
우리 사이에 그 어떤 힘든 일도
이별보단 버틸 수 있는 것들이었죠
어떻게 이별까지 사랑하겠어
널 사랑하는 거지
사랑이라는 이유로 서로를 포기하고
찢어질 것같이 아파할 수 없어 난
두세 번 더 길을 돌아갈까
적막 짙은 도로 위에 걸음을 포갠다
아무 말 없는 대화 나누며
주마등이 길을 비춘 먼 곳을 본다
그때 알게 되었어
난 더 갈 수 없단 걸
한 발 한 발 이별에 가까워질수록
너와 맞잡은 손이 사라지는 것 같죠
어떻게 이별까지 사랑하겠어
널 사랑하는 거지
사랑이라는 이유로 서로를 포기하고
찢어질 것같이 아파할 수 없어 난
어떻게 내가 어떻게 너를
이후에 우리 바다처럼 깊은 사랑이
다 마를 때까지 기다리는 게 이별일 텐데
어떻게 내가 어떻게 너를
이후에 우리 바다처럼 깊은 사랑이
다 마를 때까지 기다리는 게 이별일 텐데"
슬픈 초대장,순순희 (지환),873,"내 야윈 손위로 온 초대장 위에
널 데려간다는 그와 네 이름
오래전 헤어지던 날
자꾸 내 눈앞에 스쳐
혼자서도 난 서글픈데

수화기 너머로 젖은 네 목소리
그때 왜 날 보내줬냐고
첨부터 널 사랑했다면
마지막까지 붙잡아야 했다고

그 많은 사연들 다 버려둔 채로
날 떠난 너였잖아
지금 그를 사랑한다면서

왜 이제 와서 또 바보처럼 흔들려
누굴 위해 돌아봐
아픈 가슴 추억으로 달래며
네 행복을 믿었는데

차라리 날 다 지워버려
넌 그를 택한 세상에 후회하지 않도록 
남들처럼 나도 멀리서 나마
축하하고 싶으니

다 기억할 만큼 모질지 못한 너
날 두 번 울리잖아
되돌리긴 너무 늦었는데

왜 이제 와서 또 바보처럼 흔들려
누굴 위해 돌아봐
아픈 가슴 추억으로 달래며
네 행복을 믿었는데

차라리 날 다 지워버려
넌 그를 택한 세상에 후회하지 않도록
남들처럼 나도 멀리서 나마
축하하고 싶으니

부디 가서 영원해 줘"
그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),"너드커넥션(Nerd Connection)
											CONNECT 아티스트","3,440","날 사랑해서 떠난다며
눈물짓던 그대의 말을 믿을 수 없죠
하지만 나의 전부였던
그대가 힘들어하기에 잡을 수 없었죠
온통 너와의 기억뿐인
나를 위해서였다면
조금씩 무너져가는 날
날 위한다면
이대로 내 곁에 있어야 해요
나를 떠나면 안 돼요
세상의 모든 걸 잃어도 괜찮아요
그대만 있다면 그대만 있다면
함께 웃던 시간들을
함께했던 약속들을
지금 또 영원히 기억하겠어요
다시 한번 생각해요
무엇이 날 위한 건지
그대는 알고 있어요
영원히 내 곁을 지켜주세요
나를 떠나지 말아요
세상의 모든 걸 잃어도 난 좋아요
그대만 있다면 그대만 있다면
온통 그대의 생각뿐인
나를 위해서였다면
초라하게 쓰러지는 날
날 위한다면
이대로 내 곁에 있어야 해요
나를 떠나면 안 돼요
세상의 모든 걸 잃어도 괜찮아요
그대만 있다면 그대만 있다면
영원히 내 곁을 지켜주세요
나를 떠나지 말아요
세상의 모든 걸 잃어도 난 좋아요
그대만 있다면 그대만 있다면"
너의 모든 순간,성시경,"11,812","이윽고 내가 한눈에 너를 알아봤을 때
모든 건 분명 달라지고 있었어 
내 세상은 널 알기 전과 후로 나뉘어

니가 숨 쉬면 따스한 바람이 불어와
니가 웃으면 눈부신 햇살이 비춰

거기 있어줘서 그게 너라서
가끔 내 어깨에 가만히 기대주어서
나는 있잖아 정말 빈틈없이 행복해
너를 따라서 시간은 흐르고 멈춰

물끄러미 너를 들여다보곤 해
그것 말고는 아무것도 할 수 없어서
너의 모든 순간 그게 나였으면 좋겠다
생각만 해도 가슴이 차올라 나는 온통 너로

보고 있으면 왠지 꿈처럼 아득한 것
몇 광년 동안 날 향해 날아온 별빛 또 지금의 너

거기 있어줘서 그게 너라서
가끔 나에게 조용하게 안겨주어서
나는 있잖아 정말 남김없이 고마워
너를 따라서 시간은 흐르고 멈춰

물끄러미 너를 들여다보곤 해
너를 보는 게 나에게는 사랑이니까
너의 모든 순간 그게 나였으면 좋겠다
생각만 해도 가슴이 차올라 나는 온통 너로
니 모든 순간 나였으면"
