title,artist,like_cnt,lyrics
"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"2,220",You say Its changed Show must go on Behave 오랜만에 옛 노래해 Im feelin like I never left Thats right I never left  But you aint know OK then lights camera Act like you know Dont play on me no were Air BB Youre Homeless 혼비백산해진미장센 miseenscne 도레미파시도 Now you know it  두껍아 두껍아 Came with the troops 뜯고 맛보고 즐기고 big bang when I shoot King in the Zoo He gotta do what I do 1 of 1 not of them mirror Man in the Views Aimin at you Yea Im aiming at a man  Amen achoo Bless you all Cleaned house Foo  Golden days are still alive 외롭다는 말하지 마 내가 있는 곳 네가 있을 곳  The place that I belong   HOME SWEET HOME HOME SICK HOME Well I said I would be back And Id never let you go Pick a petal off a flower Daze you love me Nope  Well I said I would be back And Id never let you go Pick a petal off a flower Do you love me or STOP  Winner winner chicken killer 삼계탕 dinner 하나 둘 set down 1 2 step Fantastic한 팀워크 Not mini 많이 More Rock scissors paper Toast This is how we do it just do it lets do it yall  Work work 월화수목금토 일 They gon wait til Im gone So I came I saw I won G just D Word is my bond  나 무대로 올라 Coup de shh 단숨에 호흡곤란 Hook catch this 아 무제 도 몰라 Bull as shh Whatever Now or Never  Golden days are still alive 외롭다는 말하지 마 네가 있을 곳에 내가 있는 걸  The place that I belong   HOME SWEET HOME HOME SICK HOME Well I said I would be back And Id never let you go Pick a petal off a flower Daze you love me Nope  Well I said I would be back And Id never let you go Pick a petal off a flower Do you love me or STOP  We alike dead or alive Your life Stilllife Its so nice I missed u a lot Youre welcome Back home Wherever you are We alike dead or alive Your life is still with me Livin goodlife Day or Nights The highlight Its about time to ROCKON  HOME SWEET HOME HOME SICK HOME Well I said I would be back And Id never let you go Pick a petal off a flower Daze you love me Nope  Well I said I would be back And Id never let you go Pick a petal off a flower Do you love me or STOP Bugs 님이 등록해 주신 가사입니다 가사 오류 제보
POWER,G-DRAGON,"1,792",When GDs in the house bermensch When GDs in the house  Guess whos back Its ur boy GD  Now I got the power  The power power up power power The power up power power yet yet 억까 짤 퍼다 샬라샬라하다가 shout out Pump up the power 난 자유로워 yap yap Do not waste your time yea its gotta be me Prove em all wrong Ive got all the receipts I got the power the power power up power 나는 나다워서 아름다워 yep yep  애들이 나보고 개꿀이라더군 댓글 리플 관종 걔들 입틀막고 2세대 한정품이 세기의 완성품 Like a Dragon fly 누울 자리 글로 발명품  HiHeyHow u doin Mymy name is Called G to the D or GOAT the livin legend King is still poppin star K 다시 I heard youve got the straight flush Whateva  Hes 4ever royal  I dont give a 쉬잇 웃다 끝 돈 기부 억 씨익 권력오남용 묻고 관용 천재 지병 불가항력 Way too strong Ive got that  Now I got the power  The power power up power power The power up power power yet yet 억까 짤 퍼다 샬라샬라하다가 shout out Pump up the power 난 자유로워 yap yap Do not waste your time yea its gotta be me Prove em all wrong Ive got all the receipts I got the power the power power up power 나는 나다워서 아름다워 yep yep  일당백 지뢰밭 본업이Born to be BANG  Nothin U aint know But A G Thang But my girl Yall my brothers Who run the world  The world is yours 동서남북 Asia 미르시여  Europe to Australia 나르샤  Africa 2 America 어서옵쇼 Started from the bottom Now Here 아리랑  I dont give a 쉬잇 웃다 끝 돈 기부 억 씨익 권력오남용 묻고 관용 천재 지병 불가항력 Way too strong Ive got that  Now I got the power  The power power up power power The power up power power yet yet 억까 짤 퍼다 샬라샬라하다가 shout out Pump up the power 난 자유로워 yap yap Do not waste your time yea its gotta be me Prove em all wrong Ive got all the receipts I got the power the power power up power 나는 나다워서 아름다워 yep yep  I got the power the power power 88 날아 Bugs 님이 등록해 주신 가사입니다 가사 오류 제보
Igloo,KISS OF LIFE,790,Imma back up every word Mini skirt pretty pink What you heard But its never what you think Trust  I got fingerlicking venom Little sweet a little bitter Looking like a seven figure on me cause I  Mmmm I can melt an igloo Yeah cause Im so dang hot I got everything you  that youre feening for  Throwing some cash on that body Throw in some cash make em put in that work Whether it rains or its sunny Best believe I keep em running back  Glass room perfume Kodak on that lilac Slipping on my short dress know he like that  Facetime on the regular In the night wanna say whats up He knows this aint regular  got that A1 on the schedule  I got fingerlicking venom Little sweet a little bitter Looking like a seven figure on me cause I  Mmmm I can melt an igloo Yeah cause Im so dang hot I got everything you  that youre feening for  Heart attack IV When I walk the street Vitamins that D Im good Im healthy  Every summer I come out Make em disappear like clouds To me its another year to you  its all you worry bout Yeah white tippy toe summer I make him go dumb duh He doubled down on that text  says that Im the only one  Mmmm I make him lose his cool Yeah I make him go  Mmmm I can melt an igloo Yeah cause Im so dang hot I got everything you  that youre feening for Bugs 님이 등록해 주신 가사입니다 가사 오류 제보
Small girl (feat. 도경수(D.O.)),이영지,"3,308",If I got a two small cheeks and a bright pink lips Baby would youve wanted to kiss me 만약 내가 작은 볼과 밝은 핑크색 입술을 가졌으면 네가 나한테 키스하고 싶었을까  Maybe a thin ass waist  With a Brown long hair Baby Would youve wanted to hold me 또는 갈색 긴 머리에 얇은 허리를 가졌다면  네가 나를 껴안고 싶었을까  No you never 아니 전혀  No Im never gonna get them all 나는 그 조건들을 전부 다 가질 수가 없어  Yeah thats what makes me feel lonely 그래 그게 나를 참 외롭게 만들어  Oh its never 글쎄 전혀  It can never ever happen to me 나한텐 전혀 일어날 수가 없는 일들이야  Cause Im that girl tall girle  나는 키가 큰 여자니까   Boy I got a small girl fantasy 나는 작은 여자들에 대한 환상이 있어  Baby would you still love me 자기야 그래도 날 사랑해 줄래  Though I got a big laugh big voice  big personality 비록 내가 큰 웃음소리 큰 목소리 크고 시끄러운 성격을 가졌대도  Would you guarantee it 사랑해줄 수 있어  Know you got a small girl fantasy 너도 작은 여자들에 대한 환상이 있다는 걸 알아  Baby would you still love me 자기야 그래도 날 사랑해줄래  Though I got a big laugh big voice  big personality 비록 내가 큰 웃음소리 큰 목소리 크고 시끄러운 성격을 가졌대도  Would you guarantee  장담해 줄 수 있어  If I got a   If I got a   Would you guarantee  장담할 수 있겠어   If I got a   If I got a   Would you guarantee  장담할 수 있겠어   If I got a   If I got a   If I cared about All Those thing that you care Then Im not yours 만약 내가 네가 신경쓰고 있는 것들 전부를 신경쓰고 있었다면 난 네 것이 아니었을거야  Yes youre wasting all your time On some stupid things  맞아 넌 너무 바보같은 것들에 시간을 낭비하고 있어  Baby Im already yours 난 이미 네 것이잖아  You keep asking me  넌 자꾸 물어봐  Do I really suit you Do I really look good 내가 너랑 잘 어울리는 거 같아 내가 진짜 예뻐 보여   Girl I dont understand you 난 당최 이해를 할 수가 없어  All you have to do is Smiling at me  Like theres no one to interrupt us 넌 그냥 우릴 방해하는 사람이 아무도 없는 것처럼 날 향해 환히 웃어주기만 하면 돼  Cause thats all I need from you 그게 내가 너한테 바라는 전부야  Make that fingers v 수줍어 하지 말고 가까이 더 붙어 난 여기있어  니가 뭘 원하던지간에 난 항상 똑같아 다른 조건은 애초에 없었어  Big eyes big laugh Big voice or big personality 큰 눈 큰 웃음소리 큰 목소리나 성격  Girl I dont got no fantasy 난 어떤 환상도 없어 Theress no more other fantasy 그리고 그 어떤 환상도 없을거야    If I got a two small cheeks And a bright pink lips Baby would youve wanted to kiss me 만약 내가 작은 볼과 밝은 핑크색 입술을 가졌으면 네가 나한테 키스하고 싶었을까  Maybe a thin ass waist  With a Brown long hair Baby Would youve wanted to hold me 또는 갈색 긴 머리에 얇은 허리를 가졌다면  네가 나를 껴안고 싶었을까  No you never 아니 전혀  No Im never gonna get them all 나는 그 조건들을 전부 다 가질 수가 없어  Yeah thats what makes me feel lonely 그래 그게 나를 참 외롭게 만들어  Oh its never 글쎄 전혀  It can never ever happen to me 나한텐 전혀 일어날 수가 없는 일들이야  Cause Im that girl tall girle  나는 키가 큰 여자니까   Boy I got a small girl fantasy 나 작은 여자들에 대한 환상이 있어  Baby would you still love me 자기야 그래도 날 사랑해 줄래  Though I got a big laugh big voice  big personality 비록 내가 큰 웃음소리 큰 목소리 크고 시끄러운 성격을 가졌대도  Would you guarantee  사랑해줄 수 있어  Know you got a small girl fantasy 너도 작은 여자들에 대한 환상이 있다는 걸 알아  Baby would you still love me 자기야 그래도 날 사랑해줄래  Though I got a big laugh big voice  big personality 비록 내가 큰 웃음소리 큰 목소리 크고 시끄러운 성격을 가졌대도  Would you guarantee  사랑해줄 수 있어  If I got a   If I got a   Would you guarantee  장담할 수 있겠어   If I got a   If I got a   Would you guarantee  장담할 수 있겠어   If I got a   If I got a Bugs 님이 등록해 주신 가사입니다 가사 오류 제보
SPOT! (feat. JENNIE),지코 (ZICO),"2,574",Everything ok my man Turn the music up  Uhm were not going home tonight alright 네 계획에 없던 party Up and down round and round Hit the spot spot spot spot 엎치락뒤치락 정신을 왜 차려 왜  Hey girl where you at 데리러 갈게 send me the address No dress code 대충 걸치면 돼 우린 꾸밈없고 나머진 억텐 yeah  농익은 분위기 its too sticky 마구 부대껴 어머 정전기 찌릿 여긴 내 동생 저기는 내 homie 순둥이지만 음악 틀면 눈 돌지  Chillin out we yellin out one more 찐친 바이브 위아래 안 따져 부끄런 I 피식 E를 드러내 포위됐어 넌 now hands in the air  Uhm were not going home tonight alright 네 계획에 없던 party Up and down round and round Hit the spot spot spot spot 엎치락뒤치락 정신을 왜 차려 왜  Up and down round and round Everybody hit the spot Up and down round and round Everybody hit the top Up and down round and round Everybody make it loud Make it loud Up and down round and round Aint nobody hold us down  어깨 툭툭 he say Yo JENNIE Told you that 도망치면 배신 Yeah I know I know 일단 더우니까 바람 쐬러 나가  Bae 나갈 때 뒤로 딱 붙어 땀 뺐으니까 후딱 아이스크림 go 들키면 피곤해져 put your mask on 한바퀴 돌고 퀵하게 조인해  우리 프로젝트 타이틀 명은 J Z We gon run this town thats crazy 짱박아 놨던 네 똘끼를 꺼내 해방됐어 넌 now hands in the air  Uhm were not going home tonight alright 네 계획에 없던 party Up and down round and round Hit the spot spot spot spot 엎치락뒤치락 정신을 왜 차려 왜  Up and down round and round Everybody hit the spot Up and down round and round Everybody hit the top Up and down round and round Everybody make it loud Up and down round and round Everybody Stop Wait a minute ahhh  Come vibe with us Ride with us Bugs 님이 등록해 주신 가사입니다 가사 오류 제보
MEOW,MEOVV (미야오),707,MEOW  이유 없어 난 생긴 대로 chic Now you speak French Talkin bout we  아무리 날 불러봐 Oh please 가는 길이 달라 Cant keep up with me Try and match my energy  침묵 끝에 터지는 roarin 막 타기 시작했어 keep burnin  홀린 듯이 Dancin on the table table Tell em Im Pullin up On sight Well make em  MEOW With my girls We gon shake sumn MEOW We dont run We dont chase em  Turn it up Hear dat bass drum  Wons and yens and dollars Comma comma comma  Bring em Shake sumn Ah ah Break sumn  Wons and yens and dollars Comma comma comma  암만 막아 봐라 I can do it all night It look easy dont it  Make em all tonguetied 날카로운 side eye 바로 여기 접수 we own it  고요하게 높이 뛰어 닿지 않을 곳까지  Nothin else on my mind When Im on my grind No I aint got time  침묵 끝에 터지는 roarin 막 타기 시작했어 keep burnin  홀린 듯이 Dancin on the table table Tell em Im Pullin up On sight Well make em  MEOW With my girls We gon shake sumn MEOW We dont run We dont chase em  Turn it up Hear dat bass drum  Wons and yens and dollars Comma comma comma  Bring em Shake sumn Ah ah Break sumn  Wons and yens and dollars Comma comma comma Bugs 님이 등록해 주신 가사입니다 가사 오류 제보
SHEESH,BABYMONSTER,"1,486",Da la lun dun Da la lun dun Da la lun dun  BABY Imma MONSTER  Mano a mano I see you in slow mo You know youre in trouble Ooh hoo hoo hoo  발버둥 쳐봐 어차피 손바닥 위에서 못 나가 You know that  눈을 뜬 순간 피어나 All eyes on me 불을 질러라  Do or die On my life Yeah you aint seen nothing yet  Got them all going Sheesh Sheesh Sheesh Sheesh Sheesh yeah  BABYMON Sheesh Sheesh Sheesh Sheesh Sheesh yeah Got them all going  Yo hold on 쉿 걍 들이부어라 네 달팽이관에 이건 네 귀에 줄 축복 음악에 맞춰 걍 춤 춰   히비리 합 합 boom boom pow 분위기 타올라 너네들 눈 돌아 띵하니 적잖이 충격일 거야  Crown this queen 홈런은 쳤고 내 다음은 위 어중이떠중이 중간 아님 날 보고 닫혔던 입들 say Sheesh Sheesh Sheesh  You know what it is I be running this Pull up in a ghost Peek a peek a boo hoo Vroom vroom 너네 심장에 박동이 pump pump pop Pedal to the metal Click clack click  Putem up to the sky High high high high  눈을 뜬 순간 피어나 All eyes on me 불을 질러라  Do or die On my life Yeah you aint seen nothing yet  Got them all going Sheesh Sheesh Sheesh Sheesh Sheesh yeah  BABYMON Sheesh Sheesh Sheesh Sheesh Sheesh yeah Got them all going  마음껏 웃어봐 이젠 내 차례니까  천천히 불태워 네가 잠든 사이  Times up 올라가 올라가 더  꼭대기 꼭대기로 하늘 위 하늘 위로  Fly away 온 세상을 뒤집어 Come on lets ride   BABY Imma MONSTER  B A B Y M O N Tell a friend tell a friend tell a friend B A B Y M O N Tell a friend tell a friend tell a friend  Lets go Jump jump and let it go Watch out we on a roll  Rum pump pump pump it up then  Jump jump and let it go Watch out we on a roll  Rum pump pump pump it up then Bugs 님이 등록해 주신 가사입니다 가사 오류 제보
붉은 노을,BIGBANG (빅뱅),"52,279",lets go yesll were back again with 이문세  fresh collaboration 2008 its bigbang   그댄 아시나요 있잖아요 그대가 너무 그리워요 고개 숙여 눈물 훔쳐요 당신의 이름을 불러요 꼭 이렇게 날 남겨두고 떠나가야만 했는지  너만 생각하면 머리 아퍼 독하디 독한 술 같어  술뿐이겠어 병이지 매일 앓아 누워 몇 번인지 내일 이면 또 잠깐 잊었다가 또 모레쯤이면 생각나겠지만  그래도 어떡해 아직 내 사랑 유효한데 돌아올꺼라고 믿는데 난 너만 기다리는데  난 너를 사랑해 이 세상은 너 뿐이야 소리쳐 부르지만 저 대답 없는 노을만 붉게 타는데  혹시 그대가 미안해한다면 내 얼굴 보기 두렵다면 girl 그런 걱정 하덜덜덜 마 너라면 힘이 펄펄펄 나  보고 싶은 그대 얼굴 저 붉은 노을을  닮아 더 슬퍼지는걸   oh baby baby 다 지나간 시간 우리가 함께한 추억 잊진 말아줘요 눈을 감아 소리 없이 날 불러준다면 언제라도 달려 갈께요 everyday everynight i need you  난 너를 사랑해 이 세상은 너 뿐이야 소리쳐 부르지만 저 대답 없는 노을만 붉게 타는데  아름다웠던 그대 모습을 이젠 볼 순 없겠지만 후횐 없어 그저 바라볼 수 있게 붉게 타주오  Ah Ah Ah Ah   해가 뜨고 해가 지네 노을 빛에 슬퍼지네  달이 뜨고 달이 지네 세월 속에 나 또한 무뎌지네  해가 뜨고 해가 지네 노을 빛에 슬퍼지네 달이 뜨고 달이 지네 그대 기억 또한 무뎌지네   난 너를 사랑해 이 세상은 너 뿐이야 소리쳐 부르지만 저 대답 없는 노을만 붉게 타는데  난 너를 사랑해 이 세상은 너 뿐이야 소리쳐 부르지만 저 대답 없는 노을만 붉게 타는데  Ah Ah Ah Ah dodo6465 님이 등록해 주신 가사입니다 가사 오류 제보
삐딱하게 (Crooked),G-DRAGON,"7,535",영원한 건 절대 없어 결국에 넌 변했지 이유도 없어 진심이 없어 사랑 같은 소리 따윈 집어쳐 오늘밤은 삐딱하게  내버려둬 어차피 난 혼자였지 아무도 없어 다 의미 없어 사탕 발린 위로 따윈 집어쳐 오늘밤은 삐딱하게  버럭버럭 소리쳐 나는 현기증 내 심심풀이 화풀이 상대는 다른 연인들 괜히 시비 걸어 동네 양아치처럼 가끔 난 삐딱하게 다리를 일부러 절어 이 세상이란 영화 속 주인공은 너와 나 갈 곳을 잃고 헤매는 외로운 저 섬 하나 텅텅 빈 길거리를 가득 채운 기러기들 내 맘과 달리 날씨는 참 더럽게도 좋아  너 하나 믿고 마냥 행복했었던 내가 우습게 남겨졌어 새끼손가락 걸고 맹세했었던 네가 결국엔  영원한 건 절대 없어 결국에 넌 변했지 이유도 없어 진심이 없어 사랑 같은 소리 따윈 집어쳐 오늘밤은 삐딱하게  내버려둬 어차피 난 혼자였지 아무도 없어 다 의미 없어 사탕 발린 위로 따윈 집어쳐 오늘밤은 삐딱하게  짙은 아이라인 긋고 스프레이 한 통 다 쓰고 가죽바지 가죽자켓 걸치고 인상 쓰고 아픔을 숨긴 채 앞으로 더 비뚤어질래 네가 미안해지게 하늘에다 침을 칵 투박해진 내 말투와 거칠어진 눈빛이 무서워 너 실은 나 있지 두려워져 돌아가고픈데 갈 데 없고 사랑하고픈데 상대 없고 뭘 어쩌라고 돌이킬 수 없더라고  너 하나 믿고 마냥 행복했었던 내가 우습게 남겨졌어 새끼손가락 걸고 맹세했었던 네가 결국엔  영원한 건 절대 없어 결국에 넌 변했지 이유도 없어 진심이 없어 사랑 같은 소리 따윈 집어쳐 오늘밤은 삐딱하게  내버려둬 어차피 난 혼자였지 아무도 없어 다 의미 없어 사탕 발린 위로 따윈 집어쳐 오늘밤은 삐딱하게  오늘밤은 나를 위해 아무 말 말아줄래요 혼자인 게 나 이렇게 힘들 줄 몰랐는데  그대가 보고 싶어 오늘밤만 나를 위해 친구가 되어줄래요 이 좋은 날 아름다운 날 네가 그리운 날 오늘밤은 삐딱하게 bugsmanager 님이 등록해 주신 가사입니다 가사 오류 제보
하루하루,BIGBANG (빅뱅),"67,867",떠나가 Ye finally I realize that Im nuttin without you I was so wrong Forgive me ah ah ah ah 파도처럼 부숴진 내 맘 바람처럼 흔들리는 내 맘 연기처럼 사라진 내 사랑 문신처럼 지워지지가 않아 한숨만 땅이 꺼지라 쉬죠 내 가슴속엔 먼지만 쌓이죠 Say good bye 네가 없인 단 하루도 못 살것만 같았던 나 생각과는 다르게도 그럭저럭 혼자 잘 살아 보고싶다고 불러봐도 넌 아무 대답없잖아 헛된 기대 걸어봐도 이젠 소용없잖아 네 옆에 있는 그 사람이 뭔지 혹시 널 울리진 않는지 그대 내가 보이긴 하는지 벌써 싹 다 잊었는지 걱정돼 다가가기조차 말을 걸 수 조차 없어 애태우고 나 홀로 긴 밤을 지새우죠 수백번 지워내죠 돌아보지말고 떠나가라 또 나를 찾지말고 살아가라 너를 사랑했기에 후회없기에 좋았던 기억만 가져가라 그럭저럭 참아볼만해 그럭저럭 견뎌낼만해 넌 그럴수록 행복해야돼 하루하루 무뎌져가네 Oh girl cry cry yo My all say good bye 길을 걷다 너와 나 우리 마주친다해도 못 본척 하고서 그대로 가던길 가줘 자꾸만 옛 생각이 떠오르면 아마도 나도 몰래 그댈 찾아갈지도 몰라 넌 늘 그 사람과 행복하게 넌 늘 내가 다른 맘 안 먹게 넌 늘 작은 미련도 안 남게끔 잘 지내줘 나 보란듯이 넌 늘 저 하늘같이 하얗게 뜬 구름과도 같이 새파랗게 넌 늘 그렇게 웃어줘 아무 일 없듯이 돌아보지말고 떠나가라 또 나를 찾지말고 살아가라 너를 사랑했기에 후회없기에 좋았던 기억만 가져가라 그럭저럭 참아볼만해 그럭저럭 견뎌낼만해 넌 그럴수록 행복해야돼 하루하루 무뎌져가네 나를 떠나서 맘 편해지길 나를 잊고서 살아가줘 그 눈물은 다 마를테니 Ye 하루하루 지나면 차라리 만나지 않았더라면 덜 아플텐데 Um 영원히 함께하자던 그 약속 이젠 추억에 묻어두길 바래 Baby 널 위해 기도해 돌아보지말고 떠나가라 또 나를 찾지말고 살아가라 너를 사랑했기에 후회없기에 좋았던 기억만 가져가라 그럭저럭 참아볼만해 그럭저럭 견뎌낼만해 넌 그럴수록 행복해야돼 하루하루 무뎌져가네 Oh girl I cry cry yo my All say good bye bye Oh my love dont lie lie yo my heart Say good bye lsh818lim 님이 등록해 주신 가사입니다 가사 오류 제보
