title,artist,like_cnt,lyrics
비의 랩소디,임재현,"2,101","이젠 눈물 그쳐 나를 봐요
우는 그대 더 아름다워
내게 이 모습조차 더 남지 않도록
그냥 고개 돌려요
그저 미안한 마음뿐이죠
그댈 위해 해줄 게 없어
모두 이해할게요 그댈 아끼는 맘
그분들도 같을 거란 걸
한참 동안을 비틀거렸죠
그댈 사랑했던 그만큼
떠나가요 아주 먼 곳으로
그대 소식 내게 올 수 없을 그만큼
다 잊어요 내겐 마지막이 될
사람도 모두 다 버려두고 갈게요
나를 위해 많이 애썼단 걸
알고 있죠 난 감사해요
허나 이룰 수 없는 건 어쩔 수 없죠
내가 용기 낼게요 이젠
죽는 날까지 사랑한대도
가질 수 없는 그대인걸
떠나가요 아주 먼 곳으로
그대 소식 내게 올 수 없을 그만큼
다 잊어요 내겐 마지막이 될
사람도 모두 다 버려두고 갈게요
떠나가요 아주 먼 곳으로
그대 소식 내게 올 수 없을 그만큼
혹시라도 내가 그리울 때면
세상에 내가 없다고 믿어요"
인사,범진,"3,048","돌아서는 너를 보며
난 아무 말도 할 수 없었고
슬퍼하기엔 짧았던
나의 해는 저물어 갔네
지나치는 모진 기억이
바람 따라 흩어질 때면
아무 일도 없듯이 보내주려 해
아픈 맘이 남지 않도록
안녕 멀어지는 나의 하루야
빛나지 못한 나의 별들아
차마 아껴왔던 말 이제서야
잘 지내 인사를 보낼 게
떠나가는 너를 보며
난 아무 말도 할 수 없었고
슬퍼하기엔 짧았던
나의 해는 저물어 갔네
돌이킬 순 없는 추억이
바람 따라 흩어질 때면
아무 일도 없듯이 보내주려 해
아픈 맘이 남지 않도록
안녕 멀어지는 나의 하루야
빛나지 못한 나의 별들아
차마 아껴왔던 말 이제서야
잘 지내 인사를 보낼 게
잘 지내 인사를 보낼 게"
숲,최유리,"5,251","난 저기 숲이 돼볼게
너는 자그맣기만 한 언덕 위를
오르며 날 바라볼래
나의 작은 마음 한구석이어도 돼

길을 터 보일게 나를 베어도 돼 
날 지나치지 마 날 보아줘
나는 널 들을게 이젠 말해도 돼
날 보며

아 숲이 아닌 바다이던가 
옆엔 높은 나무가 있길래
하나라도 분명히 하고파 난 이제
물에 가라앉으려나

난 저기 숲이 돼볼래
나의 옷이 다 눈물에 젖는대도
아 바다라고 했던가
그럼 내 눈물 모두 버릴 수 있나

길을 터 보일게 나를 베어도 돼
날 밀어내지 마 날 네게 둬 
나는 내가 보여 난 항상 나를 봐
내가 늘 이래

아 숲이 아닌 바다이던가
옆엔 높은 나무가 있길래
하나라도 분명히 하고파 난 이제
물에 가라앉으려나

나의 눈물 모아 바다로만
흘려보내 나를 다 감추면
기억할게 내가 뭍에 나와있어
그때 난 숲이려나"
사랑할 수밖에,볼빨간사춘기,"1,232","간지러웠어 널 보는 내 손이
다 주고 싶었어 내 안에 남은 사랑까지
지켜 주고 싶었어
널 감싼 세상이 혹여나 너를 아프게 하진 않을까 하고

난 더 아름다운 사람이 되어 널 지켜 줄 거야
널 사랑할 수밖에 없는 날 알잖아
멀리서 바라만 봐도 마음이 아픈
모질게도 끝없는 사랑을 어떻게 할 수 없어
두 손을 꼭 쥘 뿐이야

당황스러웠어 내 고인 눈물이
감추고 싶었어 내 안에 남은 욕심들을
한걸음 물러섰어 네 여린 마음에
혹여나 널 더 아프게 하진 않을까 하고

난 더 아름다운 사람이 되어 널 지켜 줄 거야
널 사랑할 수밖에 없는 날 알잖아
멀리서 바라만 봐도 마음이 아픈
모질게도 끝없는 사랑을 어떻게 할 수 없어
두 손을 꼭 쥘 뿐이야

눈부시게 빛이 나는 그댈 보면
내 시간은 영원이 돼요
닳고 닳아도 사랑할 수밖에

난 더 아름다운 사람이 되어 널 지켜 줄 거야
널 사랑할 수밖에 없는 날 알잖아
멀리서 바라만 봐도 마음이 아픈
모질게도 끝없는 사랑을 어떻게 할 수 없어
두 손을 꼭 쥘 뿐이야"
주저하는 연인들을 위해,잔나비,"22,555","나는 읽기 쉬운 마음이야
당신도 스윽 훑고 가셔요
달랠 길 없는 외로운 마음 있지
머물다 가셔요 음
내게 긴 여운을 남겨줘요
사랑을 사랑을 해줘요
할 수 있다면 그럴 수만 있다면
새하얀 빛으로 그댈 비춰 줄게요
그러다 밤이 찾아오면
우리 둘만의 비밀을 새겨요
추억할 그 밤 위에 갈피를 꽂고 선 
남몰래 펼쳐보아요 
나의 자라나는 마음을
못 본채 꺾어 버릴 수는 없네
미련 남길바엔 그리워 아픈 게 나아
서둘러 안겨본 그 품은 따스할 테니
그러다 밤이 찾아오면
우리 둘만의 비밀을 새겨요
추억할 그 밤 위에 갈피를 꽂고 선
남몰래 펼쳐보아요
언젠가 또 그날이 온대도
우린 서둘러 뒤돌지 말아요
마주보던 그대로 뒷걸음치면서
서로의 안녕을 보아요
피고 지는 마음을 알아요 다시 돌아온 계절도
난 한 동안 새 활짝 피었다 질래 또 한번 영원히
그럼에도 내 사랑은 또 같은 꿈을 꾸고
그럼에도 꾸던 꿈을 난 또 미루진 않을거야"
그대가 내 안에 박혔다(그내박),순순희(기태),763,"한참을 하늘을 보고 걸어 갔어
내 지난 사랑은 온통 미련으로 가득한데
사랑이 있다는 말은 믿지 않아
그렇게 그렇게 그저 살아
사는 게 힘겨워서 버거워서 무너지고 싶던
그 날에 햇살처럼 그댄 내게 왔다
그대가 내 안에 박혔다
그대가 내 맘을 녹였다
그대가
나밖에 몰랐던 내가 사랑을 배워가고 있다
겨울같은 시간이 와도 꽃은 꺾지 않겠다
나 이제야 이제야 숨을 쉰다
너와
사는 게 힘겨워서 버거워서 무너지고 싶던
그 날에 햇살처럼 그댄 내게 왔다
그대가 내 안에 박혔다
그대가 내 맘을 녹였다
그대가
나밖에 몰랐던 내가 사랑을 배워가고 있다
겨울같은 시간이 와도 꽃은 꺾지 않겠다
나 이제야 이제야 숨을 쉰다
너와
한없이 춥기만 했던 어둡던 지난 밤들은
오늘을 위한 시련이었다
흩어진 내 맘이 길을 잃어도
아픈 시간이 와도
그대와 함께 걷겠다 내 전부를 걸겠다
그대와
그대가 내 안에 박혔다
그대가 내 맘을 녹였다
그대가
나밖에 몰랐던 내가 사랑을 배워가고 있다
겨울같은 시간이 와도 꽃은 꺾지 않겠다
나 이제야 이제야 꿈을 꾼다
너와"
스노우볼,볼빨간사춘기,393,"혼자 보내긴 싫어
너 없는 방에 케이크에
촛불을 불며 기도를 하겠지만

유난히 추운 겨울 하얀 눈
너와 함께 하고 싶단
소원을 빌었어 매일같이

난 있잖아 스노우볼을 앞뒤로 흔들어
투명한 하늘에 준비한 선물을 던져

새하얀 눈이 내려와 거리에
온통 소복이 쌓인 눈을 같이 밟으며
산타가 다녀간 길 반딧불이가 밝힌 불빛
놀라워하는 네 손을 꼭 잡고서
따뜻한 겨울이 될 거야 (그치?)
나와 함께 하지 않을래?

유난히 추운 겨울 하얀 눈
너와 함께 하고 싶단
소원을 빌었어 매일같이

난 있잖아 스노우볼을 앞뒤로 흔들어
투명한 하늘에 준비한 선물을 던져

새하얀 눈이 내려와 거리에
온통 소복이 쌓인 눈을 같이 밟으며
산타가 다녀간 길 반딧불이가 밝힌 불빛
놀라워하는 네 손을 꼭 잡고서
따뜻한 겨울이 될 거야 (그치?)
나와 함께 하지 않을래?

하늘에 예쁜 별, 달을 오려서
구름 위에 한 조각씩 걸어 두었어
특별한 선물이 될 거야
두 눈을 꼭 감고 소원을 빌어봐

하얗게 눈이 내려와
환한 미소로 웃는 네게 손 내밀면
천사가 다녀간 길 따라 불 켜진 오두막집 놀랍지?
난 한 번 더 스노우볼을 흔들어

눈이 내려와 거리에
온통 소복이 쌓인 눈을 같이 밟으며
산타가 다녀간 길 반딧불이가 밝힌 불빛
놀라워하는 네 손을 꼭 잡고서
따뜻한 겨울이 될 거야 (그치?)
나와 함께 하지 않을래?"
그라데이션,10CM,"5,371","밤은 다시 길고 깊어졌네
나는 점점 너로 잠 못 들게 돼
글로 적어내긴 어려운 이 기분을
너도 느꼈으면 좋겠는데
너는 아무 생각 없이 몇 번
나를 지나가며 웃은 거라지만
나의 하얀 옷에 너의 잉크가 묻어
닦아낼 수 없을 만큼 번졌네
달콤한 색감이 물들어 조금씩
정신을 차렸을 땐 알아볼 수도 없지
가득 찬 마음이 여물다 못해 터지고 있어
내일은 말을 걸어봐야지
요즘 노랜 뭔가 맘에 안 들어
네게 불러 주기엔 좀 어려워서
나름 며칠 밤을 새워 연습했지만
네게 들려주기엔 무리인 것 같아
너는 번질수록 진해져 가고
나의 밤은 좀 더 길고 외롭지만
하루종일 떠오르는 너의 얼굴은
방을 가득 채워 무지개같이
달콤한 색감이 물들어 조금씩
정신을 차렸을 땐 알아볼 수도 없지
가득 찬 마음이 여물다 못해 터지고 있어
내일은 말을 걸어봐야지
바람을 맞고 빗물에 젖어
나의 색감도 흐려지겠지만
너는 항상 빛에 반짝일 테니까
멋진 말들을 전하지 못하고
아무도 관심 없는 그림이 되겠지만
달콤한 색감은 감추지 못해 터지고 있어
내일은 말을 걸어봐야지
그냥 이 노래가 어떨까 싶어"
민들레 (single ver.),우효(Oohyo),"8,425","우리 손 잡을까요
지난날은 다 잊어버리고
나를 사랑한다고 말해주세요
우리 동네에 가요
편한 미소를 지어 주세요
노란 꽃잎처럼 내 맘에
사뿐히 내려앉도록
바람결에 스쳐 갈까
내 마음에 심어질까
너에게 주고만 싶어요
사랑을 말하고 싶어
사랑해요 그대
있는 모습 그대로
너의 모든 눈물
닦아주고 싶어
어서 와요 그대
매일 기다려요
나 웃을게요 많이
그대를 위해 많이
많이 웃을게요
우리 손 잡을까요
(널 얼마나 사랑하는데)
오늘은 안아줘요
(왜 왜 자꾸 놓아주려 해)
놓아주려 해
바람처럼 사라질까
내 마음을 채워줄까
나는 너를 보고 싶어요
너와 함께 하고 싶어
사랑해요 그대
있는 모습 그대로
너의 모든 시간
함께 하고 싶어
어서 와요 그대
같이 걸어가요
웃게 해줄게요
더 웃게 해줄게요
영원히"
나의 X에게,경서,"4,660","우리 다시 만날래
예쁘게 빛나던
모든 추억들이
너무 그리워
너의 품에 안길래
이 밤이 새도록
네게 말할 거야
너를 좋아한다고
안녕 그대야
요즘 어떻게 지내
가로수길 걷다가
생각이 나서
행복해 보이는 사람들 속에
우리 둘만 없어서
어색했었어
늘 집에 갈 땐
항상 뒤돌아보면
날 보며 웃어주던
네가 생각났어
우리 다시 만날래
예쁘게 빛나던
모든 추억들이
너무 그리워
너의 품에 안길래
이 밤이 새도록
네게 말할 거야
너를 좋아한다고
토요일마다 가던
한강공원에
이어폰 하나씩
나눠끼고서
벚꽃엔딩같이 듣고 있으면
부러울 게 없었어
너만 있으면
널 사랑할 때
내가 너무 그리워
날 보며 웃어주던
네가 보고 싶어
우리 다시 만날래
예쁘게 빛나던
모든 추억들이
너무 그리워
너의 품에 안길래
이 밤이 새도록
네게 말할 거야
너를 좋아한다고
같이 별 보러 갈래
널 다시 만나면
네 옆에 기대서
잠들고 싶어
너의 품에 안길래
이 밤이 새도록
내 곁에 있어줘
내겐 너뿐이라고"
